Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,AVERAGE_Z_SCORE,AVERAGE_Z_SCORE_ENGLISH,AVERAGE_Z_SCORE_CHINESE
11,521809,Is this okay? Or OTT?#,,,,-2,,,-3,,,,8,,,,,,,2,,,,,,0,5,,,,,,,,,,,,,-3,0,,,,,,0,,,,,,,,,,blank,blank,blank,-0.472349272,blank,blank,-0.83290772,blank,blank,blank,0.945736434,blank,blank,blank,blank,blank,blank,0.104536902,blank,blank,blank,blank,blank,-0.372340426,0.801785714,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.677085579,-0.1191,blank,blank,blank,blank,blank,-0.165827005,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.087505661,0.029076939,-0.320670861
12,388839,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?#",3,,,-4,,,-5,,,,3,,,,,,,2,,,,,,-4,3,,,,,,,,,,,,,-6,0,,,,,,0,,7,,,,-1,,,,0.346663481,blank,blank,-0.818849619,blank,blank,-1.241496251,blank,blank,blank,0.170542636,blank,blank,blank,blank,blank,blank,0.104536902,blank,blank,blank,blank,blank,-1.339458414,0.291581633,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1.323776676,-0.1191,blank,blank,blank,blank,blank,-0.165827005,blank,1.551862526,blank,blank,blank,-0.067135405,blank,blank,blank,-0.217538016,-0.355211376,-0.024795312
13,206259,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?#",1,,,-2,,,-1,,,,-3,,,,,,,0,,,,,,3,0,,,,,,,,,,,,,-3,0,,,,,,-3,,-1,,,,-2,,,,0.028141424,blank,blank,-0.472349272,blank,blank,-0.424319189,blank,blank,blank,-0.759689922,blank,blank,blank,blank,blank,blank,-0.313610705,blank,blank,blank,blank,blank,0.352998066,-0.47372449,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.677085579,-0.1191,blank,blank,blank,blank,blank,-0.72148546,blank,-0.236770266,blank,blank,blank,-0.293944205,blank,blank,blank,-0.3425783,-0.294650584,-0.409677102
14,394910,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?#",-3,,,-6,,,-2,,,,-4,,,,,,,-4,,,,,,2,-1,,,,,,,,,,,,,-3,0,,,,,,-1,,-8,,,,-2,,,,-0.608902692,blank,blank,-1.165349965,blank,blank,-0.628613455,blank,blank,blank,-0.914728682,blank,blank,blank,blank,blank,blank,-1.149905917,blank,blank,blank,blank,blank,0.111218569,-0.728826531,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.677085579,-0.1191,blank,blank,blank,blank,blank,-0.35104649,blank,-1.801823958,blank,blank,blank,-0.293944205,blank,blank,blank,-0.694009075,-0.726444096,-0.648600046
15,620687,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?#",-12,,,-11,,,-12,,,,-10,,,,,,,-10,,,,,,-1,-7,,,,,,,,,,,,,-10,-5,,,,,,,,-11,,,,-9,,,,-2.042251951,blank,blank,-2.031600832,blank,blank,-2.671556109,blank,blank,blank,-1.84496124,blank,blank,blank,blank,blank,blank,-2.404348735,blank,blank,blank,blank,blank,-0.614119923,-2.259438776,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-2.186031472,-1.1191,blank,blank,blank,blank,blank,blank,blank,-2.472561255,blank,blank,blank,-1.881605806,blank,blank,blank,-1.957052373,-1.981182509,-1.914824633
16,506658,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?#,5,,,6,,,2,,,,8,,,,,,,6,,,,,,3,6,,,,,,,,,,,,,-3,0,,,,,,0,,5,,,,1,,,,0.665185539,blank,blank,0.913652114,blank,blank,0.188563607,blank,blank,blank,0.945736434,blank,blank,blank,blank,blank,blank,0.940832114,blank,blank,blank,blank,blank,0.352998066,1.056887755,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.677085579,-0.1191,blank,blank,blank,blank,blank,-0.165827005,blank,1.104704328,blank,blank,blank,0.386482196,blank,blank,blank,0.466085797,0.723407947,0.105834788
17,488272,Nothing messed up from where I'm sitting. What kind of messed up?#,5,,,3,,,-5,,,,-3,,,,,,,0,,,,,,3,-6,,,,,,,,,,,,,0,0,,,,,,-3,,-4,,,,,,,,0.665185539,blank,blank,0.393901594,blank,blank,-1.241496251,blank,blank,blank,-0.759689922,blank,blank,blank,blank,blank,blank,-0.313610705,blank,blank,blank,blank,blank,0.352998066,-2.004336735,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.030394482,-0.1191,blank,blank,blank,blank,blank,-0.72148546,blank,-0.907507563,blank,blank,blank,blank,blank,blank,blank,-0.425957811,-0.415292631,-0.444621876
18,237849,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?#",4,,,-3,,,0,,,,7,,,,,,,2,,,,,,2,3,,,,,,,,,,,,,0,-1,,,,,,-3,,-6,,,,-2,,,,0.50592451,blank,blank,-0.645599446,blank,blank,-0.220024924,blank,blank,blank,0.790697674,blank,blank,blank,blank,blank,blank,0.104536902,blank,blank,blank,blank,blank,0.111218569,0.291581633,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.030394482,-0.3191,blank,blank,blank,blank,blank,-0.72148546,blank,-1.35466576,blank,blank,blank,-0.293944205,blank,blank,blank,-0.148437916,0.134047845,-0.543917981
19,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?#",5,,,-1,,,1,,,,0,,,,,,,-1,,,,,,2,1,,,,,,,,,,,,,6,2,,,,,,0,,2,,,,0,,,,0.665185539,blank,blank,-0.299099099,blank,blank,-0.015730658,blank,blank,blank,-0.294573643,blank,blank,blank,blank,blank,blank,-0.522684508,blank,blank,blank,blank,blank,0.111218569,-0.218622449,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1.262987713,0.2809,blank,blank,blank,blank,blank,-0.165827005,blank,0.433967031,blank,blank,blank,0.159673395,blank,blank,blank,0.116449574,-0.08204375,0.394340227
20,622922,That is weird. What happens if you create Usor:Rolandus?#,7,,,0,,,0,,,,4,,,,,,,-1,,,,,,1,-2,,,,,,,,,,,,,3,0,,,,,,0,,,,,,0,,,,0.983707597,blank,blank,-0.125848926,blank,blank,-0.220024924,blank,blank,blank,0.325581395,blank,blank,blank,blank,blank,blank,-0.522684508,blank,blank,blank,blank,blank,-0.130560928,-0.983928571,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.616296616,-0.1191,blank,blank,blank,blank,blank,-0.165827005,blank,blank,blank,blank,blank,0.159673395,blank,blank,blank,-0.016610533,-0.096251266,0.122760751
21,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?#,12,,,,,,7,,,4,,,,4,,,,-1,,,,-6,,,,3,,3,1,,,-9,,,,,,,,-6,,-8,,,,2,,,,,-5,,-3,,1.780012741,blank,blank,blank,blank,blank,1.210034934,blank,blank,0.553156397,blank,blank,blank,0.581741457,blank,blank,blank,-0.522684508,blank,blank,blank,-1.189447146,blank,blank,blank,0.262114537,blank,0.464261707,-0.03075346,blank,blank,-1.937280792,blank,blank,blank,blank,blank,blank,blank,-1.742247684,blank,-1.71907312,blank,blank,blank,0.397871116,blank,blank,blank,blank,-0.974370606,blank,-0.837096592,blank,-0.246917401,0.345381851,-1.13536628
22,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?#",12,,,,,,8,,,9,,,,6,,,,5,,,,4,,,,3,,6,6,,,12,,,,,,,,6,,12,,,,6,,,,,7,,6,,1.780012741,blank,blank,blank,blank,blank,1.4143292,blank,blank,1.322446342,blank,blank,blank,0.993433512,blank,blank,blank,0.731758311,blank,blank,blank,0.611381235,blank,blank,blank,0.262114537,blank,1.136455299,1.250640697,blank,blank,2.395296059,blank,blank,blank,blank,blank,blank,blank,1.183154559,blank,2.400391349,blank,blank,blank,1.548619102,blank,blank,blank,blank,1.747334997,blank,1.938539491,blank,1.381060495,1.055841319,1.86888926
23,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?#,5,,,,,,1,,,0,,,,0,,,,0,,,,0,,,,4,,6,3,,,0,,,,,,,,0,,0,,,,2,,,,,0,,0,,0.665185539,blank,blank,blank,blank,blank,-0.015730658,blank,blank,-0.06227556,blank,blank,blank,-0.241642651,blank,blank,blank,-0.313610705,blank,blank,blank,-0.108950117,blank,blank,blank,0.482378855,blank,1.136455299,0.481804203,blank,blank,-0.080462142,blank,blank,blank,blank,blank,blank,blank,-0.279546563,blank,-0.071287333,blank,blank,blank,0.397871116,blank,blank,blank,blank,0.159673395,blank,0.088115436,blank,0.149198541,0.224846023,0.035727318
24,109408,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?#,0,,,,,,6,,,1,,,,-3,,,,0,,,,,,,,2,,5,4,,,10,,,,,,,,6,,6,,,,4,,,,,-1,,-1,,-0.131119605,blank,blank,blank,blank,blank,1.005740669,blank,blank,0.091582429,blank,blank,blank,-0.859180733,blank,blank,blank,-0.313610705,blank,blank,blank,blank,blank,blank,blank,0.04185022,blank,0.912390769,0.738083034,blank,blank,1.982669693,blank,blank,blank,blank,blank,blank,blank,1.183154559,blank,1.164552008,blank,blank,blank,0.973245109,blank,blank,blank,blank,-0.067135405,blank,-0.220288574,blank,0.464423819,0.18571701,0.836032898
25,390848,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?#",7,,,,,,4,,,-1,,,,0,,,,0,,,,0,,,,1,,3,5,,,9,,,,,,,,7,,-6,,,,3,,,,,,,2,,0.983707597,blank,blank,blank,blank,blank,0.597152138,blank,blank,-0.216133549,blank,blank,blank,-0.241642651,blank,blank,blank,-0.313610705,blank,blank,blank,-0.108950117,blank,blank,blank,-0.178414097,blank,0.464261707,0.994361866,blank,blank,1.776356509,blank,blank,blank,blank,blank,blank,blank,1.426938079,blank,-1.307126674,blank,blank,blank,0.685558113,blank,blank,blank,blank,blank,blank,0.704923454,blank,0.376241548,0.220081354,0.657329896
26,623298,"As another aside, they are mostly Germans. What's up with that?#",-9,,,,,,-7,,,-5,,,,1,,,,-3,,,,0,,,,8,,-4,-3,,,-6,,,,,,,,0,,-3,,,,0,,,,,-2,,-1,,-1.564468864,blank,blank,blank,blank,blank,-1.650084782,blank,blank,-0.831565505,blank,blank,blank,-0.035796624,blank,blank,blank,-0.940832114,blank,blank,blank,-0.108950117,blank,blank,blank,1.363436123,blank,-1.104190007,-1.055868785,blank,blank,-1.318341242,blank,blank,blank,blank,blank,blank,blank,-0.279546563,blank,-0.689207003,blank,blank,blank,-0.177502877,blank,blank,blank,blank,-0.293944205,blank,-0.220288574,blank,-0.593810076,-0.658702297,-0.496471744
27,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?#,-6,,,,,,5,,,4,,,,3,,,,0,,,,0,,,,0,,3,2,,,0,,,,,,,,3,,3,,,,2,,,,,3,,2,,-1.086685778,blank,blank,blank,blank,blank,0.801446403,blank,blank,0.553156397,blank,blank,blank,0.37589543,blank,blank,blank,-0.313610705,blank,blank,blank,-0.108950117,blank,blank,blank,-0.398678414,blank,0.464261707,0.225525372,blank,blank,-0.080462142,blank,blank,blank,blank,blank,blank,blank,0.451803998,blank,0.546632338,blank,blank,blank,0.397871116,blank,blank,blank,blank,0.840099796,blank,0.704923454,blank,0.224881924,0.056928922,0.476811427
28,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?#,5,,,,,,1,,,0,,,,0,,,,-3,,,,,,,,4,,-1,0,,,-3,,,,,,,,-3,,-9,,,,0,,,,,-10,,-4,,0.665185539,blank,blank,blank,blank,blank,-0.015730658,blank,blank,-0.06227556,blank,blank,blank,-0.241642651,blank,blank,blank,-0.940832114,blank,blank,blank,blank,blank,blank,blank,0.482378855,blank,-0.431996415,-0.287032291,blank,blank,-0.699401692,blank,blank,blank,blank,blank,blank,blank,-1.010897123,blank,-1.925046344,blank,blank,blank,-0.177502877,blank,blank,blank,blank,-2.108414606,blank,-1.145500601,blank,-0.564193467,-0.103993162,-1.177793874
29,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?#",2,,,,,,2,,,2,,,,1,,,,-2,,,,0,,,,-5,,-1,3,,,-3,,,,,,,,-5,,-8,,,,2,,,,,-10,,-4,,0.187402453,blank,blank,blank,blank,blank,0.188563607,blank,blank,0.245440418,blank,blank,blank,-0.035796624,blank,blank,blank,-0.731758311,blank,blank,blank,-0.108950117,blank,blank,blank,-1.5,blank,-0.431996415,0.481804203,blank,blank,-0.699401692,blank,blank,blank,blank,blank,blank,blank,-1.498464164,blank,-1.71907312,blank,blank,blank,0.397871116,blank,blank,blank,blank,-2.108414606,blank,-1.145500601,blank,-0.565218257,-0.189476754,-1.128830511
30,629684,Out of curiosity what are you testing? How are things going?#,5,,,,,,9,,,2,,,,1,,,,6,,,,8,,,,7,,3,8,,,9,,,,,,,,0,,-3,,,,3,,,,,-10,,2,,0.665185539,blank,blank,blank,blank,blank,1.618623465,blank,blank,0.245440418,blank,blank,blank,-0.035796624,blank,blank,blank,0.940832114,blank,blank,blank,1.331712588,blank,blank,blank,1.143171806,blank,0.464261707,1.76319836,blank,blank,1.776356509,blank,blank,blank,blank,blank,blank,blank,-0.279546563,blank,-0.689207003,blank,blank,blank,0.685558113,blank,blank,blank,blank,-2.108414606,blank,0.704923454,blank,0.548419952,0.90406993,0.014944984
31,629602,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?#",6,,,,,3,,6,,1,,,,2,,0,,,,,3,,,,2,,,,,0,,,,1,,,,,,8,,3,,,9,,,,,,,,,,0.824446568,blank,blank,blank,blank,0.416918317,blank,0.597910334,blank,0.091582429,blank,blank,blank,0.170049403,blank,0.031551668,blank,blank,blank,blank,0.268071815,blank,blank,blank,0.036479592,blank,blank,blank,blank,-0.497007268,blank,blank,blank,-0.170122526,blank,blank,blank,blank,blank,1.670721599,blank,0.546632338,blank,blank,1.501148361,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.422183279,0.215555873,0.887094943
32,210822,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?#",12,,,,,9,,12,,8,,,,3,,0,,,,,9,,,,11,,,,,9,,,,6,,,,,,7,,4,,,0,,,,,,,,,,1.780012741,blank,blank,blank,blank,1.429142612,blank,1.640137921,blank,1.168588353,blank,blank,blank,0.37589543,blank,0.031551668,blank,blank,blank,blank,1.616295531,blank,blank,blank,2.332397959,blank,blank,blank,blank,1.426891834,blank,blank,blank,1.00801131,blank,blank,blank,blank,blank,1.426938079,blank,0.752605561,blank,blank,-0.165827005,blank,blank,blank,blank,blank,blank,blank,blank,blank,1.14020323,1.311212672,0.755431986
33,264394,Would you like to elaborate? How are you empowering me exactly?#,-12,,,,,-5,,3,,-4,,,,-5,,0,,,,,4,,,,-1,,,,,6,,,,3,,,,,,8,,2,,,-11,,,,,,,,,,-2.042251951,blank,blank,blank,blank,-0.932714077,blank,0.07679654,blank,-0.677707516,blank,blank,blank,-1.270872787,blank,0.031551668,blank,blank,blank,blank,0.492775768,blank,blank,blank,-0.728826531,blank,blank,blank,blank,0.785592133,blank,blank,blank,0.301131008,blank,blank,blank,blank,blank,1.670721599,blank,0.340659114,blank,blank,-2.203241341,blank,blank,blank,blank,blank,blank,blank,blank,blank,-0.319722029,-0.473961861,0.027317595
34,279719,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?#",11,,,,,2,,10,,1,,,,3,,0,,,,,4,,,,1,,,,,3,,,,6,,,,,,8,,3,,,3,,,,,,,,,,1.620751712,blank,blank,blank,blank,0.248214268,blank,1.292728726,blank,0.091582429,blank,blank,blank,0.37589543,blank,0.031551668,blank,blank,blank,blank,0.492775768,blank,blank,blank,-0.218622449,blank,blank,blank,blank,0.144292433,blank,blank,blank,1.00801131,blank,blank,blank,blank,blank,1.670721599,blank,0.546632338,blank,blank,0.38983145,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.59187436,0.453241109,0.903799174
35,120107,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?#",-2,,,,,-2,,7,,-2,,,,4,,1,,,,,3,,,,-1,,,,,9,,,,8,,,,,,8,,6,,,-6,,,,,,,,,,-0.449641663,blank,blank,blank,blank,-0.426601929,blank,0.771614932,blank,-0.369991538,blank,blank,blank,0.581741457,blank,0.262936739,blank,blank,blank,blank,0.268071815,blank,blank,blank,-0.728826531,blank,blank,blank,blank,1.426891834,blank,blank,blank,1.479264844,blank,blank,blank,blank,blank,1.670721599,blank,1.164552008,blank,blank,-1.277143916,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.336429973,0.148466124,0.759348634
36,159127,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?#",0,,,,,0,,12,,-2,,,,4,,0,,,,,0,,,,1,,,,,0,,,,-3,,,,,,9,,0,,,0,,,,,,,,,,-0.131119605,blank,blank,blank,blank,-0.089193831,blank,1.640137921,blank,-0.369991538,blank,blank,blank,0.581741457,blank,0.031551668,blank,blank,blank,blank,-0.406040042,blank,blank,blank,-0.218622449,blank,blank,blank,blank,-0.497007268,blank,blank,blank,-1.112629595,blank,blank,blank,blank,blank,1.914505119,blank,-0.071287333,blank,blank,-0.165827005,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.085093654,0.060161813,0.141190297
37,596018,"Thanks for the help! That info should be on <url> in easy to read form, no?#",12,,,,,8,,12,,0,,,,5,,1,,,,,4,,,,2,,,,,12,,,,1,,,,,,7,,3,,,3,,,,,,,,,,1.780012741,blank,blank,blank,blank,1.260438563,blank,1.640137921,blank,-0.06227556,blank,blank,blank,0.787587485,blank,0.262936739,blank,blank,blank,blank,0.492775768,blank,blank,blank,0.036479592,blank,blank,blank,blank,2.068191535,blank,blank,blank,-0.170122526,blank,blank,blank,blank,blank,1.426938079,blank,0.546632338,blank,blank,0.38983145,blank,blank,blank,blank,blank,blank,blank,blank,blank,0.804581856,0.918476087,0.548319835
