Community,Num,Id,Request_format,Request,Batch
Wikipedia,14,394910,"I am puzzled by your ""fixing"" of the recursion formula at &lt;url&gt;. Why do you consider it important to put ''B''&lt;sub&gt;''k''&lt;/sub&gt; ''before'' rather than ''after'' the binomial coefficient?","I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?",a
Wikipedia,15,620687,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?","That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",a
Wikipedia,16,506658,Hey &lt;name&gt; I have a quick question - do you do photo requests in NOVA and/or DC?,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?,a
Wikipedia,17,488272,Nothing messed up from where I'm sitting. What kind of messed up?,Nothing messed up from where I'm sitting. What kind of messed up?,a
Wikipedia,18,237849,"Regarding &lt;url&gt;, &lt;url&gt; says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?","Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?",a
Wikipedia,19,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?","I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?",a
Wikipedia,20,622922,That is weird. What happens if you create Usor:Rolandus?,That is weird. What happens if you create Usor:Rolandus?,a
Wikipedia,21,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?,a
Wikipedia,22,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?","Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?",a
Wikipedia,23,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?,a
Wikipedia,24,109408,It is being suggested on &lt;url&gt; that the recent round of editing of &lt;url&gt; in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,a
Wikipedia,25,390848,"Looking at Kotorkid's contributions on &lt;url&gt;, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?","Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?",a
Wikipedia,26,623298,"As another aside, they are mostly Germans. What's up with that?","As another aside, they are mostly Germans. What's up with that?",a
Wikipedia,27,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,a
Wikipedia,28,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?,a
Wikipedia,29,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?","what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?",a
Wikipedia,30,629684,Out of curiosity what are you testing? How are things going?,Out of curiosity what are you testing? How are things going?,a
Wikipedia,31,629602,"Ok, I'd agree about &lt;url&gt; being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?","Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?",a
Wikipedia,32,210822,"Thanks for your support! Would you consider commenting on the &lt;url&gt; talk page, saying it has your support (and adding those comments for discussion)?","Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?",a
Wikipedia,33,264394,Would you like to elaborate? How are you empowering me exactly?,Would you like to elaborate? How are you empowering me exactly?,a
Wikipedia,34,279719,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update &lt;url&gt;, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?","As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?",a
Wikipedia,35,120107,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?","Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?",a
Wikipedia,36,159127,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?","What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?",a
Wikipedia,37,596018,"Thanks for the help! That info should be on &lt;url&gt; in easy to read form, no?","Thanks for the help! That info should be on <url> in easy to read form, no?",a
Wikipedia,38,421199,"Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?","Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?",a
Wikipedia,39,621917,"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?","Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?",a
Wikipedia,40,62073,Fatwa? What is that?,Fatwa? What is that?,a
Wikipedia,41,535410,"I see. What about ""Main Church""?","I see. What about ""Main Church""?",a
Wikipedia,42,580856,"Could you please explain to me what the buttons do? How do you ""Not accept"" a change, that's what...you revert it, don't you...?","Could you please explain to me what the buttons do? How do you ""Not accept"" a change, that's what...you revert it, don't you...?",a
Wikipedia,43,607777,to the Citations missing template. What's the deal?,to the Citations missing template. What's the deal?,a
Wikipedia,44,277176,"Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?","Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?",a
Wikipedia,45,134361,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?,a
Wikipedia,46,444059,I'm trying to keep Minority Report as a Good Article and the &lt;url&gt; requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?,I'm trying to keep Minority Report as a Good Article and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?,a
Wikipedia,47,38632,"Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?","Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?",a
Wikipedia,48,133723,"If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?","If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?",a
Wikipedia,49,209322,What do you think? And how does one go about establishing this project group?,What do you think? And how does one go about establishing this project group?,a
Wikipedia,50,369741,"I will understand if you decline, but would very much like you to accept. May I nominate you?","I will understand if you decline, but would very much like you to accept. May I nominate you?",a
Wikipedia,51,257936,I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?,I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?,a
Wikipedia,52,241828,"Hmm, now I feel ignorant. Are you aware of a good source we could stick in the article to back this up?","Hmm, now I feel ignorant. Are you aware of a good source we could stick in the article to back this up?",a
Wikipedia,53,84622,&lt;url&gt; shows that Geo Swan has become active and &lt;url&gt; indicates that the problems mentioned at the RfC may be continuing. Would you close the RfC with the drafted summary?,<url> shows that Geo Swan has become active and <url> indicates that the problems mentioned at the RfC may be continuing. Would you close the RfC with the drafted summary?,a
Wikipedia,54,137339,"I have looked back in my archives a year, and cannot find the issue concerned - although I certainly remember the name, your account, and the style. Can you give me the relevant link/diff, so I can refresh my memory and be best informed what action might be appropriate?","I have looked back in my archives a year, and cannot find the issue concerned - although I certainly remember the name, your account, and the style. Can you give me the relevant link/diff, so I can refresh my memory and be best informed what action might be appropriate?",a
Wikipedia,55,106275,I just sent you an email. Did it work?,I just sent you an email. Did it work?,a
Wikipedia,56,13662,"Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?","Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?",a
Wikipedia,57,89515,"Hi there. Regarding the comment you added &lt;url&gt;, how can this be verified?","Hi there. Regarding the comment you added <url>, how can this be verified?",a
Wikipedia,58,573934,"Not a whole lot of contrast with the letters now, if you've traversed the link. Maybe a green pattern is just not the right base color, if we are trying to avoid confusing with WP officialstuff?","Not a whole lot of contrast with the letters now, if you've traversed the link. Maybe a green pattern is just not the right base color, if we are trying to avoid confusing with WP officialstuff?",a
Wikipedia,59,297046,I hope this makes my concerns clearer. Perhaps we can work together to resolve them?,I hope this makes my concerns clearer. Perhaps we can work together to resolve them?,a
Wikipedia,60,148704,"I'm curious: how do you make those beautiful coats of arms? Do you have a script that generates them from the heraldic descriptions, or do you make them by hand?","I'm curious: how do you make those beautiful coats of arms? Do you have a script that generates them from the heraldic descriptions, or do you make them by hand?",a
Wikipedia,61,622223,"Unfortunately, I have no clue what you mean. Can you point me to a page that has such a feature?","Unfortunately, I have no clue what you mean. Can you point me to a page that has such a feature?",a
Wikipedia,62,888,Thanks for the heads up. He doesn't know any english?,Thanks for the heads up. He doesn't know any english?,a
Wikipedia,63,531742,"I took a quick look and I'm not up to reading through it properly at the moment. :) I'll be back on here tomorrow morning and I'll have a look then, if that's OK?","I took a quick look and I'm not up to reading through it properly at the moment. :) I'll be back on here tomorrow morning and I'll have a look then, if that's OK?",a
Wikipedia,64,273774,Hi &lt;name&gt; it is taking a while for Longhair to get back to me on a couple of things. Is he on wikibreak or something?,Hi <name> it is taking a while for Longhair to get back to me on a couple of things. Is he on wikibreak or something?,a
Wikipedia,65,507189,"Deleting Val Klassen's page. I redirected it to the creator's talkpage, wasn't that enough?","Deleting Val Klassen's page. I redirected it to the creator's talkpage, wasn't that enough?",a
Wikipedia,66,509055,I'm afraid I don't entirely understand what you mean. Is there some conflict with using user authorization and the GPL license?,I'm afraid I don't entirely understand what you mean. Is there some conflict with using user authorization and the GPL license?,a
Wikipedia,67,445252,"The policy is tricky - I guess it comes down to whether or not you think the account is going to be disruptive, and whether it is appropriate to guess that ahead of time. On the other hand, looks like another overreaction to &lt;name&gt; in my opinion - what do you think?","The policy is tricky - I guess it comes down to whether or not you think the account is going to be disruptive, and whether it is appropriate to guess that ahead of time. On the other hand, looks like another overreaction to <name> in my opinion - what do you think?",a
Wikipedia,68,204594,Who???,Who???,a
Wikipedia,69,457189,Can you help with this user:&lt;url&gt; I suspect that it is sockpuppet of banned user Bonaparte and he vandalizing various articles related to Romanians and Vlachs. Can we do something about it?,Can you help with this user:<url> I suspect that it is sockpuppet of banned user Bonaparte and he vandalizing various articles related to Romanians and Vlachs. Can we do something about it?,a
Wikipedia,70,469273,"Is there any reason you keep moving boldface marks? ITN is on my watchlist and you seem to do this quite frequently, yet, as far as I can see, it makes no difference, so I feel compelled to ask if there's any particular reason?","Is there any reason you keep moving boldface marks? ITN is on my watchlist and you seem to do this quite frequently, yet, as far as I can see, it makes no difference, so I feel compelled to ask if there's any particular reason?",a
Wikipedia,71,192707,"I always thought that even if you need an account to view the info, it was allowed to be used on Wikipedia. Like the Magazine references?","I always thought that even if you need an account to view the info, it was allowed to be used on Wikipedia. Like the Magazine references?",a
Wikipedia,72,354587,"Sorry, what? Could you be more specific please?","Sorry, what? Could you be more specific please?",a
Wikipedia,73,134181,"I don't have the full list online, but I do have the 07-08 AJHL record book. Are there any specific seasons or teams you are looking for?","I don't have the full list online, but I do have the 07-08 AJHL record book. Are there any specific seasons or teams you are looking for?",a
Wikipedia,74,627256,How does it feel being wikifamous??,How does it feel being wikifamous??,a
Wikipedia,75,292274,You're welcome. What else is peer review for?,You're welcome. What else is peer review for?,a
Wikipedia,76,219928,Why did you remove those German emigrant cases. Shouldn't we include those cases of people who was born in what was then Germany at the time?,Why did you remove those German emigrant cases. Shouldn't we include those cases of people who was born in what was then Germany at the time?,a
Wikipedia,77,394222,just wondering how the chapters were going. you think they are notable enough to have their own article?,just wondering how the chapters were going. you think they are notable enough to have their own article?,a
Wikipedia,78,164799,"What would the recommended sequencing be, then?... Good Article then Feautred Article recommendation?","What would the recommended sequencing be, then?... Good Article then Feautred Article recommendation?",a
Wikipedia,79,576947,"I noticed you added the Jean Chretien link to the homepage, which is nice, but you didn't put any comment for the changelog and you also didn't bump of the last article, you bumped off the 2nd last article. Why?","I noticed you added the Jean Chretien link to the homepage, which is nice, but you didn't put any comment for the changelog and you also didn't bump of the last article, you bumped off the 2nd last article. Why?",a
Wikipedia,80,207737,"In &lt;url&gt;, you removed a cartoon image of Wendy Thomas that had been used in the infobox on her article. I'm not very familiar with the NFCC policy you cite, so I was wondering if you thought that giving a rationale on the image for use in that particular article would bring it up to specs?","In <url>, you removed a cartoon image of Wendy Thomas that had been used in the infobox on her article. I'm not very familiar with the NFCC policy you cite, so I was wondering if you thought that giving a rationale on the image for use in that particular article would bring it up to specs?",a
Wikipedia,81,628231,"Also, 'topological proof'? Isn't 'proof' a bit strong?","Also, 'topological proof'? Isn't 'proof' a bit strong?",a
Wikipedia,82,625715,"When you say you emailed Crystal, do you mean ''Crystal Evans, AKA Country Girl in Girl Authority?'' She was the one who wanted me to recieve the Barnstar?","When you say you emailed Crystal, do you mean ''Crystal Evans, AKA Country Girl in Girl Authority?'' She was the one who wanted me to recieve the Barnstar?",a
Wikipedia,83,153143,I seem to have stuffed up creating 4 April 2009 very badly. Can you help?,I seem to have stuffed up creating 4 April 2009 very badly. Can you help?,a
Wikipedia,84,414976,"Hello. Regarding &lt;url&gt;, could you tell me what supports this being a free image?","Hello. Regarding <url>, could you tell me what supports this being a free image?",a
Wikipedia,85,234380,"Yes, I do have the Family Guy DVD collection, Volume 1, Seasons 1&2. What's up?","Yes, I do have the Family Guy DVD collection, Volume 1, Seasons 1&2. What's up?",a
Wikipedia,86,137251,"An editor you recently blocked for a week, &lt;url&gt;, is now editing the same articles and topics under an IP account &lt;url&gt;. Is this allowed or should it just be ignored?","An editor you recently blocked for a week, <url>, is now editing the same articles and topics under an IP account <url>. Is this allowed or should it just be ignored?",a
Wikipedia,87,627674,"I agree, and that is something that I have believed to be the case for a few weeks now, but &lt;name&gt; won't let me make any significant changes that would result as such. So has it been propsed that the material be merged?","I agree, and that is something that I have believed to be the case for a few weeks now, but <name> won't let me make any significant changes that would result as such. So has it been propsed that the material be merged?",a
Wikipedia,88,476597,I'm confused: what did you do? And how did you delete it twice without restoring it in between?,I'm confused: what did you do? And how did you delete it twice without restoring it in between?,a
Wikipedia,89,516456,&lt;url&gt;. What do you think should be done?,<url>. What do you think should be done?,a
Wikipedia,90,544688,"This would make a great addition to DYK, you know. (&lt;url&gt; :) It's just under a thousand wordsu2014maybe more of your thesis would like to make it onto WP?","This would make a great addition to DYK, you know. (<url> :) It's just under a thousand wordsu2014maybe more of your thesis would like to make it onto WP?",a
Wikipedia,91,172545,Iulius! Could you provide exact reference of article u017dirmu016bnai part ''Demographics'' ethnicity composition?,Iulius! Could you provide exact reference of article u017dirmu016bnai part ''Demographics'' ethnicity composition?,a
Wikipedia,92,71974,The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?,The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?,a
Wikipedia,93,447985,"As a timid Wikipedia end-user who never makes more than a rare grammatical or spelling edit, learning the history to be found on this talk page and Kate's userpage history makes me sad. Why is it that so many communities change the way they do as the size of the project they revolve around increases..?","As a timid Wikipedia end-user who never makes more than a rare grammatical or spelling edit, learning the history to be found on this talk page and Kate's userpage history makes me sad. Why is it that so many communities change the way they do as the size of the project they revolve around increases..?",a
Wikipedia,94,537248,Title says it all.&lt;url&gt; I dont have time to put up a page... but might I suggest &lt;url&gt;?,Title says it all.<url> I dont have time to put up a page... but might I suggest <url>?,a
Wikipedia,95,6478,Thanks. Do you happen to know if the postcard was origianlly published in Japan?,Thanks. Do you happen to know if the postcard was origianlly published in Japan?,a
Wikipedia,96,13280,"Sorry, but which talk page? I came across the graphic at &lt;url&gt; - is there another?","Sorry, but which talk page? I came across the graphic at <url> - is there another?",a
Wikipedia,97,599609,So....what's up with this article? Is it a joke?,So....what's up with this article? Is it a joke?,a
Wikipedia,98,532224,The content has recently been added to &lt;url&gt;. Would you consider changing your vote to delete?,The content has recently been added to <url>. Would you consider changing your vote to delete?,a
Wikipedia,99,629673,No problem. Have you heard anything new about HRE?,No problem. Have you heard anything new about HRE?,a
Wikipedia,100,334732,"Again samething with the second site, again outside of taking they're word for it how do we know they are are right. What is your opinion on the 2 logos in the forum discussion think they were made up?","Again samething with the second site, again outside of taking they're word for it how do we know they are are right. What is your opinion on the 2 logos in the forum discussion think they were made up?",a
Wikipedia,101,626770,"Your poorly written, bizarre comment makes no sense, since all of my edits in the Al Franken article conform to wikipedia's NPOV policy. What are you talking about?","Your poorly written, bizarre comment makes no sense, since all of my edits in the Al Franken article conform to wikipedia's NPOV policy. What are you talking about?",a
Wikipedia,102,459747,Howdy Resolute. Is &lt;url&gt; for real?,Howdy Resolute. Is <url> for real?,a
Wikipedia,103,102225,"I just reverted your addition of a fossil range template to &lt;url&gt;, because with only an arrow at the very right it didn't seem to add much useful information. Perhaps we could make a separate template to show only the Cenozoic or so, which would allow us to show more detail in these fossil ranges?","I just reverted your addition of a fossil range template to <url>, because with only an arrow at the very right it didn't seem to add much useful information. Perhaps we could make a separate template to show only the Cenozoic or so, which would allow us to show more detail in these fossil ranges?",a
Wikipedia,104,399040,That's making the fundamental assertion that the second source is reliable. Can you prove that it is?,That's making the fundamental assertion that the second source is reliable. Can you prove that it is?,a
Wikipedia,105,620486,? What?,? What?,a
Wikipedia,106,71828,"There seems to have been something wrong with the pages you made on the V8 Supercar Championship Series - a glitch with the ""align"" tags in the beginning infobox made the text grotesquely overflow the margins. I've trimmed these down; mind checking my work?","There seems to have been something wrong with the pages you made on the V8 Supercar Championship Series - a glitch with the ""align"" tags in the beginning infobox made the text grotesquely overflow the margins. I've trimmed these down; mind checking my work?",a
Wikipedia,107,475979,"Some links look notable, others do not, &lt;url&gt;. Thoughts?","Some links look notable, others do not, <url>. Thoughts?",a
Wikipedia,108,532687,You might be just the person I need- &lt;url&gt; has just been repeatedly vandalised and with ? German - in there - wonder what you would do with the vandal?,You might be just the person I need- <url> has just been repeatedly vandalised and with ? German - in there - wonder what you would do with the vandal?,a
Wikipedia,109,500692,"Hello, I know that the article &lt;url&gt; isn't exactly football related, but can you help out on &lt;url&gt;? and tell me if the article is ready for a GA nominee?","Hello, I know that the article <url> isn't exactly football related, but can you help out on <url>? and tell me if the article is ready for a GA nominee?",a
Wikipedia,110,303013,Based on what? Don't you think a little discussion is in order before doing this?,Based on what? Don't you think a little discussion is in order before doing this?,a
Wikipedia,111,300945,I tried to fix your problem with &lt;url&gt;. Is that what you were looking for?,I tried to fix your problem with <url>. Is that what you were looking for?,a
Wikipedia,112,475912,I was really unsure on what to do with &lt;url&gt; so I made it into a dab. That ok?,I was really unsure on what to do with <url> so I made it into a dab. That ok?,a
Wikipedia,113,520796,What do you think? Perhaps the coat of arms field can contain the picture that the article's family name infobox already has?,What do you think? Perhaps the coat of arms field can contain the picture that the article's family name infobox already has?,a
Wikipedia,114,343273,"I consider &lt;url&gt; to be the single most important edit I have ever made. God, what is happening with The Beatles coverage on Wikipedia?","I consider <url> to be the single most important edit I have ever made. God, what is happening with The Beatles coverage on Wikipedia?",a
Wikipedia,115,397759,I find it hard to believe one editor (even one so prolific as RickK) can have much of an effect overall. Do contributors on either side have any (non-anecdotal) evidence that suggests otherwise?,I find it hard to believe one editor (even one so prolific as RickK) can have much of an effect overall. Do contributors on either side have any (non-anecdotal) evidence that suggests otherwise?,a
Wikipedia,116,235522,Which discussion are you referring to? On which article's talk page?,Which discussion are you referring to? On which article's talk page?,a
Wikipedia,117,464868,"Hi, I recently got approval for your requested link replacement (sorry for the delay), but, after doing a &lt;url&gt; there seems to be very few links left to replace. Could you confirm the problem is solved?","Hi, I recently got approval for your requested link replacement (sorry for the delay), but, after doing a <url> there seems to be very few links left to replace. Could you confirm the problem is solved?",a
Wikipedia,118,337509,The Olbermann thing is being discussed on the &lt;url&gt; talk page. Do you have anything to add?,The Olbermann thing is being discussed on the <url> talk page. Do you have anything to add?,a
Wikipedia,119,626197,REVERT???,REVERT???,a
Wikipedia,120,72763,"I started, but gave up. And why link the word 'mother'?","I started, but gave up. And why link the word 'mother'?",a
Wikipedia,121,283735,"So how are u gonna concider weither the licences used by Fluckr are accurate...? ,and if this image has to bee conciderd than Image:Petercrouch_liverpool.JPG should be to..?","So how are u gonna concider weither the licences used by Fluckr are accurate...? ,and if this image has to bee conciderd than Image:Petercrouch_liverpool.JPG should be to..?",a
Wikipedia,122,524373,"AnonEMouse, I have noticed today that there are many recent comments on the &lt;url&gt; talk page that do not show in ""history"". How can that happen?","AnonEMouse, I have noticed today that there are many recent comments on the <url> talk page that do not show in ""history"". How can that happen?",a
Wikipedia,123,25727,"It turns out that the Zelda Collection you referred to in &lt;url&gt; didn't include aLttP, reportedly because the GBA remake was still being sold at that time, so that disc included NES and N64 emulation but left out SNES. Do you have another example?","It turns out that the Zelda Collection you referred to in <url> didn't include aLttP, reportedly because the GBA remake was still being sold at that time, so that disc included NES and N64 emulation but left out SNES. Do you have another example?",a
Wikipedia,124,629591,I just did some edits on it. Feedback?,I just did some edits on it. Feedback?,a
Wikipedia,125,184558,"That looks better. I think I'm about done now, but old Theobald's still at Featured Article candidates isn't he?","That looks better. I think I'm about done now, but old Theobald's still at Featured Article candidates isn't he?",a
Wikipedia,126,626716,"Even worse: ""The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes."" This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any similar contributions you've made?","Even worse: ""The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes."" This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any similar contributions you've made?",a
Wikipedia,127,30722,You added to the Order of Victoria and Albert page that no awards were given out after the death of Queen Victoria. According to the &lt;url&gt; she became the tSovereign of the Order in 1952. Is this just because the order was never officially scrapped ?,You added to the Order of Victoria and Albert page that no awards were given out after the death of Queen Victoria. According to the <url> she became the tSovereign of the Order in 1952. Is this just because the order was never officially scrapped ?,a
Wikipedia,128,392689,As you can tell from my user page I do like art. I noticed you talking about a film ambassador on WikiProject Film (An project that I am active on) and I was wondering what is the main goals of film ambassador?,As you can tell from my user page I do like art. I noticed you talking about a film ambassador on WikiProject Film (An project that I am active on) and I was wondering what is the main goals of film ambassador?,a
Wikipedia,129,404995,I noticed that you are the major contributor to the articles. Mind if I nominate &lt;url&gt; at &lt;url&gt;?,I noticed that you are the major contributor to the articles. Mind if I nominate <url> at <url>?,a
Wikipedia,130,297846,Would my doing a read-through looking out for that kind of thing be useful? Or would it be merely annoying?,Would my doing a read-through looking out for that kind of thing be useful? Or would it be merely annoying?,a
Wikipedia,131,292769,What would that do? Is that good?,What would that do? Is that good?,a
Wikipedia,132,621555,"Creating and improving images, or just placing them in articles/making sure they have the right copyrights/etc.?","Creating and improving images, or just placing them in articles/making sure they have the right copyrights/etc.?",a
Wikipedia,133,378972,"Your DYK hook for &lt;url&gt; is missing something. It says ""''Frank Bancroft managed the now-defunct Major League Baseball Providence Grays...''"" - maybe ""'''his''' now-defunct Major League Baseball '''team, the''' Providence Grays,...""?","Your DYK hook for <url> is missing something. It says ""''Frank Bancroft managed the now-defunct Major League Baseball Providence Grays...''"" - maybe ""'''his''' now-defunct Major League Baseball '''team, the''' Providence Grays,...""?",a
Wikipedia,134,625006,"Yes, ''kaen chokugeki hou'' is exactly right. Do you have that same NTSC Hong Kong DVD that I do?","Yes, ''kaen chokugeki hou'' is exactly right. Do you have that same NTSC Hong Kong DVD that I do?",a
Wikipedia,135,490623,I'll also add some categories to cover the collaboration nomination procedure and we should think about setting up a project &lt;url&gt;. Can you think of anything else that we need to tag that could be better handled through the comicsproj template than a banner on the front page?,I'll also add some categories to cover the collaboration nomination procedure and we should think about setting up a project <url>. Can you think of anything else that we need to tag that could be better handled through the comicsproj template than a banner on the front page?,a
Wikipedia,136,557002,One oddity is that the Library of Congress isn't officially the U.S. national library; there are only national libraries in Medicine and Agriculture. Do you compare specialized libraries?,One oddity is that the Library of Congress isn't officially the U.S. national library; there are only national libraries in Medicine and Agriculture. Do you compare specialized libraries?,a
