Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,
15,620687,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?#","1: That's,2: ""fucking,3: consistent,4: naming-schemers"",,5: please.,8: some,9: actual,10: reason,17: infeasibly,23: inconsistent","2: ""fucking,3: consistent,4: naming-schemers"",,5: please.,12: a),16: b),17: infeasibly,18: small,22: c),23: inconsistent,24: capitalisation?","2: ""fucking,3: consistent,4: naming-schemers"",","12: a),16: b),22: c)",,,,,,"2: ""fucking,3: consistent,4: naming-schemers"",",,"3: consistent,4: naming-schemers"",","2: ""fucking",,,,,,,,,,,,"2: ""fucking","2: ""fucking,5: please.",,,,"2: ""fucking","2: ""fucking,9: actual",,"2: ""fucking,3: consistent,4: naming-schemers"",",0,,,,,,,,,,,,,,,,,,,,,
16,506658,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?#,"1: Hey,3: I,4: have,5: a,6: quick,7: question","1: Hey,2: <name>,6: quick","1: Hey,4: have,5: a,6: quick,7: question","1: Hey,6: quick,7: question",,,,,"1: Hey,2: <name>,3: I,4: have,5: a,6: quick,7: question","7: question,8: -,9: do,10: you",1: Hey,,,,,,,,,,,,,"9: do,10: you,11: do","1: Hey,6: quick",,,,,"1: Hey,6: quick,7: question","6: quick,7: question",,"6: quick,7: question",0,,,,,,,,,,,,,,,,,,,,,
17,488272,Nothing messed up from where I'm sitting. What kind of messed up?#,"8: What,9: kind",,"1: Nothing,2: messed,3: up,8: What,9: kind,10: of","2: messed,3: up,8: What,9: kind,10: of,11: messed,12: up?","1: Nothing,2: messed,3: up",,,,,"8: What,9: kind,10: of,11: messed,12: up?",,"2: messed,3: up,4: from,5: where",1: Nothing,,,,,,,,,,,,"8: What,9: kind,10: of",11: messed,,,,,"1: Nothing,8: What,9: kind,10: of,11: messed,12: up?",6: I'm,,,,"8: What,9: kind,10: of,11: messed,12: up?",0,,,,,,,,,,,,,,,,,,
18,237849,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?#","1: Regarding,21: Are,22: you,23: planning","1: Regarding,11: (asking,17: non-existing,18: would,19: be,20: strange).,21: Are,22: you,23: planning,27: misspelled","1: Regarding,21: Are,22: you,23: planning,24: an,25: article,26: or,27: misspelled,28: an,29: existing,30: article?",1: Regarding,,,,,,"21: Are,22: you,23: planning,24: an,25: article,26: or,27: misspelled,28: an,29: existing,30: article?","5: not,6: to,7: redlink,8: in,9: See,10: also,11: (asking,12: people,13: to",22: you,,,,,,,,,,,,,"21: Are,22: you",20: strange).,,,,,"21: Are,22: you,27: misspelled",17: non-existing,,,"1: Regarding,20: strange).,27: misspelled",0,,,,,,,,,,,,,,,,,,,
19,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?#","7: one,8: question:,26: I'm,27: assuming,28: we","3: thinking,4: on,5: it,,27: assuming,28: we,29: simply,30: ignore,31: these?","26: I'm,27: assuming,28: we,29: simply,30: ignore,31: these?","6: but,7: one,8: question:,28: we",,,,"26: I'm,27: assuming,28: we,29: simply,30: ignore,31: these?","8: question:,9: I,10: see,11: several,12: articles,13: either,14: deleted","1: I,28: we",,,,,,,,,,,,"26: I'm,27: assuming",27: assuming,,,,,"1: I,2: was,3: thinking,7: one,8: question:,26: I'm,27: assuming","7: one,8: question:",,,27: assuming,0,,,,,,,,,,,,,,,,,,,,,,
20,622922,That is weird. What happens if you create Usor:Rolandus?#,"1: That,2: is,3: weird.,4: What,5: happens","1: That,2: is,3: weird.","1: That,2: is,3: weird.,4: What,5: happens,6: if,7: you,8: create","1: That,2: is,3: weird.",,,,,"1: That,2: is,3: weird.",,,,"1: That,2: is,3: weird.",3: weird.,,,,,,,,,,,,,"4: What,5: happens,6: if",3: weird.,,,,,,3: weird.,,9: Usor:Rolandus?,,,"3: weird.,4: What,5: happens,6: if,7: you,8: create,9: Usor:Rolandus?",0,,,,,,,,,,,,,,,
21,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?#,"8: to,9: agree,10: to,11: disagree,22: Can,23: we,24: at,25: least,26: agree","21: then!,22: Can,23: we,24: at,25: least,26: agree,27: to","9: agree,10: to,11: disagree,21: then!,23: we,24: at,25: least,26: agree","1: I,2: think,3: we're,4: going,5: to,6: just,7: have,8: to,9: agree,10: to,11: disagree","22: Can,23: we,24: at,25: least","1: I,2: think,3: we're,4: going,5: to,6: just,7: have,8: to,9: agree,10: to,11: disagree,12: on,13: whether,14: it,15: is,16: a,17: sub,18: genre,19: or,20: fusion,21: then!,22: Can,23: we,24: at,25: least","8: to,9: agree,10: to,11: disagree,12: on,13: whether,14: it,15: is,16: a,17: sub,18: genre","9: agree,10: to,11: disagree,22: Can,23: we,24: at,25: least,26: agree","5: to,6: just,7: have,8: to,21: then!,22: Can,23: we,24: at,25: least,26: agree","21: then!,24: at,25: least",,,,,,21: then!,,"7: have,8: to,9: agree,10: to,11: disagree,12: on,13: whether","21: then!,22: Can,23: we,24: at,25: least,26: agree","22: Can,23: we,24: at,25: least","22: Can,23: we,24: at,25: least,26: agree,27: to,28: leave,29: the,30: three,31: genres,32: on,33: Dookie,34: as,35: they,36: are?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?#","1: Thanks,2: for,3: the,4: redirect,5: help!,6: Is,7: that,8: something,9: I,10: can,11: do,12: myself","1: Thanks,2: for,3: the,4: redirect,5: help!,17: is,18: that,19: an,20: admin","1: Thanks,2: for,3: the,4: redirect,5: help!,20: admin,21: thing?","1: Thanks,2: for,3: the,4: redirect,5: help!","1: Thanks,2: for,3: the,4: redirect,5: help!","1: Thanks,2: for,3: the,4: redirect,5: help!","4: redirect,5: help!,6: Is,7: that,8: something","1: Thanks,13: in,14: the,15: future,","1: Thanks,21: thing?","1: Thanks,6: Is,7: that,8: something,9: I,10: can,11: do,12: myself,13: in,14: the,15: future,,16: or,17: is,18: that,19: an,20: admin,21: thing?",1: Thanks,"1: Thanks,2: for,3: the,4: redirect,5: help!,6: Is,7: that,8: something,9: I,10: can,11: do,12: myself,13: in,14: the,15: future,","1: Thanks,6: Is,7: that,8: something",,"1: Thanks,2: for,5: help!","1: Thanks,2: for,3: the,4: redirect,5: help!",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?#,"1: Do,2: You,3: have,13: And,14: do,15: you,16: have","1: Do,2: You,3: have,13: And,14: do,15: you","1: Do,2: You,14: do,15: you",,13: And,,,,"1: Do,2: You,3: have,4: the,5: list,6: of,7: other,8: flag,9: bearers,10: from,11: other,12: countries?,13: And,14: do,15: you,16: have,17: a,18: video,19: link,20: of,21: the,22: parade,23: of,24: nations?",1: Do,,,,"8: flag,9: bearers,10: from,11: other,12: countries?","1: Do,2: You,3: have,13: And,14: do,15: you,16: have","1: Do,2: You,3: have","1: Do,2: You,3: have",,,,,,"1: Do,2: You,14: do,15: you","1: Do,2: You,3: have,13: And,14: do,15: you,16: have","1: Do,2: You,3: have,13: And,14: do,15: you,16: have","1: Do,2: You,3: have,13: And,14: do,15: you,16: have","1: Do,2: You,14: do,15: you",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,109408,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?#,"1: It,2: is,3: being,4: suggested,26: Perhaps,27: you,28: could,29: advise?","26: Perhaps,27: you,28: could,29: advise?","26: Perhaps,27: you,28: could,29: advise?","1: It,2: is,3: being,4: suggested,5: on","1: It,2: is,3: being,4: suggested,5: on,6: <url>,7: that,8: the,9: recent,10: round,11: of,12: editing,13: of,14: <url>,15: in,16: which,17: you,18: were,19: involved,20: amounted,21: to,22: no,23: more,24: than,25: sanitisation.,26: Perhaps,27: you,28: could,29: advise?",1: It,,,,"26: Perhaps,27: you,28: could,29: advise?","1: It,2: is,3: being,4: suggested,20: amounted,21: to,22: no,23: more,24: than,25: sanitisation.,26: Perhaps,27: you,28: could,29: advise?","3: being,4: suggested,26: Perhaps","3: being,4: suggested,26: Perhaps,29: advise?",,,,26: Perhaps,"26: Perhaps,27: you,28: could,29: advise?","1: It,2: is,3: being,4: suggested,26: Perhaps,27: you,28: could,29: advise?","26: Perhaps,27: you,28: could","4: suggested,15: in,16: which,17: you,18: were,19: involved,20: amounted,21: to,22: no,23: more,24: than,25: sanitisation.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,390848,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?#","15: Considering,25: would,26: you,27: support,28: an,29: indef-block,30: for,31: vandalism-only,32: account,33: for,34: them?","10: too,11: short,12: for,13: a,14: block.,25: would,26: you,27: support","1: Looking,2: at,3: Kotorkid's,4: contributions,7: three,8: hours,9: seems,10: too,11: short,15: Considering,29: indef-block","25: would,26: you,27: support","1: Looking,2: at,3: Kotorkid's,4: contributions,5: on,6: <url>,,7: three,8: hours,9: seems,10: too,11: short,12: for,13: a,14: block.,15: Considering,16: that,17: their,18: three,19: and,20: only,21: edits,22: were,23: all,24: vandalism,,25: would,26: you,27: support,28: an,29: indef-block,30: for,31: vandalism-only,32: account,33: for,34: them?",1: Looking,,,"25: would,26: you,27: support,28: an,29: indef-block,30: for,31: vandalism-only,32: account","1: Looking,2: at,3: Kotorkid's,4: contributions,24: vandalism,","25: would,26: you",,"9: seems,25: would,26: you,27: support",,,,,25: would,"7: three,8: hours,9: seems,10: too,11: short,12: for,13: a,14: block.","25: would,26: you,27: support",,"24: vandalism,","15: Considering,25: would",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,623298,"As another aside, they are mostly Germans. What's up with that?#","8: What's,9: up,10: with,11: that?",,,"4: they,5: are,6: mostly,7: Germans.,8: What's,9: up,10: with,11: that?","1: As,2: another,3: aside,,4: they,5: are,6: mostly,7: Germans.,8: What's,9: up,10: with,11: that?","8: What's,9: up,10: with,11: that?","8: What's,9: up,10: with,11: that?",1: As,,,,"8: What's,9: up,10: with,11: that?","7: Germans.,8: What's,9: up,10: with,11: that?","8: What's,9: up,10: with,11: that?","8: What's,9: up,10: with,11: that?",,,,,"8: What's,9: up","4: they,5: are,6: mostly,7: Germans.","8: What's,9: up,10: with,11: that?",,"8: What's,9: up,10: with,11: that?","8: What's,9: up,10: with,11: that?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?#,"5: as,6: it,7: is.",,,,,"8: Why,9: don't,10: we,11: bring,12: this,13: back","3: seems,4: good,5: as,6: it,7: is.,10: we,11: bring,12: this,13: back,14: up","8: Why,9: don't,10: we",,"1: The,2: profile,3: seems,4: good,5: as,6: it,7: is.,8: Why,9: don't,10: we,11: bring,12: this,13: back,14: up,15: after,16: the,17: Hibiki,18: 2-parter?",1: The,,,,"8: Why,9: don't,10: we,11: bring,12: this,13: back","4: good,5: as,6: it,7: is.","3: seems,4: good,8: Why,9: don't,10: we","8: Why,9: don't,10: we",,,,,,"8: Why,9: don't,10: we","8: Why,9: don't,10: we",,"8: Why,9: don't,10: we",,,"8: Why,9: don't,10: we","8: Why,9: don't,10: we",0,,,,,,,,,,,,,,,,,,,,,,,
28,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?#,"16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?","16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?","16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?","16: did,17: you,18: read,19: p",,"16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?",1: US,,,,"14: A.,15: Olsen.,16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?","16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?","16: did,17: you",,"16: did,17: you,18: read",,,,,,"16: did,17: you","16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?","16: did,17: you,18: read",,,"16: did,17: you,18: read","16: did,17: you,18: read,19: p,20: 179,21: and,22: 181?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?#","15: what,16: was,17: the,18: point,19: in,20: shooting,21: it,22: down?","1: what,2: do,3: you,4: think,5: was,6: the,7: purpose,15: what,16: was,17: the,18: point,19: in,20: shooting","2: do,3: you,4: think,15: what,16: was,17: the,18: point","15: what,16: was,17: the,18: point","1: what,2: do,3: you,4: think,5: was,6: the,7: purpose",1: what,,,,"15: what,16: was,17: the,18: point,19: in,20: shooting,21: it,22: down?","10: Fesselballon?,15: what,16: was,17: the,18: point","1: what,2: do,3: you,4: think","15: what,16: was,17: the,18: point",,,,,"15: what,16: was,17: the,18: point","11: if,12: it,13: wasn't,14: military,,15: what,16: was,17: the,18: point,19: in,20: shooting,21: it,22: down?","1: what,2: do,3: you,4: think",,,"1: what,2: do,3: you,4: think,5: was,6: the,7: purpose,8: of,15: what,16: was,17: the,18: point","11: if,12: it,13: wasn't,14: military,,15: what,16: was,17: the,18: point,19: in,20: shooting,21: it,22: down?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,629684,Out of curiosity what are you testing? How are things going?#,"1: Out,2: of,3: curiosity",,,,"1: Out,2: of,3: curiosity,8: How,9: are,10: things,11: going?","1: Out,2: of,3: curiosity,8: How,9: are,10: things,11: going?","1: Out,2: of,3: curiosity",,"1: Out,2: of,3: curiosity,8: How,9: are,10: things,11: going?","1: Out,2: of,3: curiosity,8: How,9: are,10: things,11: going?","8: How,9: are,10: things,11: going?","1: Out,2: of,3: curiosity","1: Out,2: of,3: curiosity,4: what,5: are,6: you,8: How,9: are,10: things,11: going?","1: Out,2: of,3: curiosity",,,,,,"8: How,9: are,10: things,11: going?","4: what,5: are,6: you,7: testing?","1: Out,2: of,3: curiosity,8: How,9: are,10: things,11: going?","8: How,9: are,10: things,11: going?","1: Out,2: of,3: curiosity",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,629602,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?#","1: Ok,,2: I'd,3: agree",,,"1: Ok,,2: I'd,3: agree,8: Should,9: I,10: delete","2: I'd,3: agree","1: Ok,,2: I'd,3: agree,4: about",,"1: Ok,,2: I'd,3: agree,4: about,5: <url>,6: being,7: better.,8: Should,9: I,10: delete,11: the,12: other,13: one,14: (you,15: could,16: also,17: tag,18: it,19: for,20: speedy,21: deletion,22: as,23: a,24: mistake)?","8: Should,9: I,10: delete,11: the,12: other,13: one,14: (you,15: could","2: I'd,3: agree,4: about,5: <url>,6: being,7: better.","1: Ok,,2: I'd,3: agree,8: Should,9: I",,8: Should,,,,"1: Ok,,2: I'd,3: agree,8: Should,9: I,10: delete,15: could","7: better.,20: speedy,21: deletion","1: Ok,",,,"3: agree,8: Should,9: I,10: delete",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
